Region,SPI,Year,Month,Values
Assam Meghalaya,2,1871,1,
Assam Meghalaya,2,1871,2,-0.359935733
Assam Meghalaya,2,1871,3,-0.094525325
Assam Meghalaya,2,1871,4,0.050706972
Assam Meghalaya,2,1871,5,0.190495678
Assam Meghalaya,2,1871,6,-0.317716422
Assam Meghalaya,2,1871,7,-0.381604465
Assam Meghalaya,2,1871,8,0.334840333
Assam Meghalaya,2,1871,9,0.289235273
Assam Meghalaya,2,1871,10,-0.319867301
Assam Meghalaya,2,1871,11,-0.138892828
Assam Meghalaya,2,1871,12,0.063072059
Assam Meghalaya,2,1872,1,-0.012564046
Assam Meghalaya,2,1872,2,0.146361621
Assam Meghalaya,2,1872,3,0.034165581
Assam Meghalaya,2,1872,4,-0.13589644
Assam Meghalaya,2,1872,5,-0.153496509
Assam Meghalaya,2,1872,6,-0.820271105
Assam Meghalaya,2,1872,7,-0.094994225
Assam Meghalaya,2,1872,8,0.634856056
Assam Meghalaya,2,1872,9,1.679424038
Assam Meghalaya,2,1872,10,1.747795252
Assam Meghalaya,2,1872,11,-0.026226934
Assam Meghalaya,2,1872,12,-1.019948911
Assam Meghalaya,2,1873,1,-0.524369821
Assam Meghalaya,2,1873,2,-0.017691632
Assam Meghalaya,2,1873,3,0.470566291
Assam Meghalaya,2,1873,4,0.139077286
Assam Meghalaya,2,1873,5,-1.412232215
Assam Meghalaya,2,1873,6,-1.248997755
Assam Meghalaya,2,1873,7,-0.683489632
Assam Meghalaya,2,1873,8,-1.22367177
Assam Meghalaya,2,1873,9,-1.639236036
Assam Meghalaya,2,1873,10,-2.204131219
Assam Meghalaya,2,1873,11,-2.030284114
Assam Meghalaya,2,1873,12,-1.281906899
Assam Meghalaya,2,1874,1,0.847345177
Assam Meghalaya,2,1874,2,1.88475689
Assam Meghalaya,2,1874,3,1.174092319
Assam Meghalaya,2,1874,4,0.105816173
Assam Meghalaya,2,1874,5,0.74058012
Assam Meghalaya,2,1874,6,0.284242488
Assam Meghalaya,2,1874,7,0.251225737
Assam Meghalaya,2,1874,8,0.551676103
Assam Meghalaya,2,1874,9,0.398302766
Assam Meghalaya,2,1874,10,1.255007425
Assam Meghalaya,2,1874,11,0.849747839
Assam Meghalaya,2,1874,12,-0.354481303
Assam Meghalaya,2,1875,1,1.078679814
Assam Meghalaya,2,1875,2,0.713584156
Assam Meghalaya,2,1875,3,0.934599032
Assam Meghalaya,2,1875,4,1.019266231
Assam Meghalaya,2,1875,5,0.022877265
Assam Meghalaya,2,1875,6,0.685447103
Assam Meghalaya,2,1875,7,0.74778853
Assam Meghalaya,2,1875,8,1.243941361
Assam Meghalaya,2,1875,9,0.755795804
Assam Meghalaya,2,1875,10,-1.893350497
Assam Meghalaya,2,1875,11,-1.404920524
Assam Meghalaya,2,1875,12,-0.250571371
Assam Meghalaya,2,1876,1,0.269960966
Assam Meghalaya,2,1876,2,-0.288291616
Assam Meghalaya,2,1876,3,0.524632603
Assam Meghalaya,2,1876,4,-0.351320807
Assam Meghalaya,2,1876,5,-0.246836865
Assam Meghalaya,2,1876,6,0.827999046
Assam Meghalaya,2,1876,7,0.32362385
Assam Meghalaya,2,1876,8,-0.168095401
Assam Meghalaya,2,1876,9,-0.492150395
Assam Meghalaya,2,1876,10,-0.507118935
Assam Meghalaya,2,1876,11,0.459566848
